Unnamed: 0,syd,did,wei,symptom,diagnose
0,1.0,163.0,2.0,upper abdominal pain,cholecystitis:inflammation of the gallbladder
1,2.0,163.0,1.0,lower abdominal pain,cholecystitis:inflammation of the gallbladder
2,7.0,163.0,1.0,back ache or pain,cholecystitis:inflammation of the gallbladder
3,29.0,163.0,2.0,fever,cholecystitis:inflammation of the gallbladder
4,32.0,163.0,1.0,flank pain,cholecystitis:inflammation of the gallbladder
5,54.0,163.0,1.0,kidney pain (flank pain),cholecystitis:inflammation of the gallbladder
7,113.0,163.0,1.0,vomiting,cholecystitis:inflammation of the gallbladder
8,179.0,163.0,2.0,jaundice (yellowing skin),cholecystitis:inflammation of the gallbladder
9,262.0,163.0,2.0,chest pain,cholecystitis:inflammation of the gallbladder
10,264.0,163.0,1.0,stomach and abdominal pain,cholecystitis:inflammation of the gallbladder
11,1.0,164.0,2.0,upper abdominal pain,choledocholithiasis:stone in bile duct
12,179.0,164.0,1.0,jaundice (yellowing skin),choledocholithiasis:stone in bile duct
13,232.0,164.0,2.0,steatorrhea (excess fat in stool),choledocholithiasis:stone in bile duct
14,262.0,164.0,1.0,chest pain,choledocholithiasis:stone in bile duct
15,1.0,165.0,1.0,upper abdominal pain,cholelithiasis:gallstones
16,2.0,165.0,,lower abdominal pain,cholelithiasis:gallstones
17,7.0,165.0,,back ache or pain,cholelithiasis:gallstones
18,13.0,165.0,,chest pressure,cholelithiasis:gallstones
19,32.0,165.0,1.0,flank pain,cholelithiasis:gallstones
20,54.0,165.0,,kidney pain (flank pain),cholelithiasis:gallstones
22,66.0,165.0,0.0,nausea,cholelithiasis:gallstones
23,89.0,165.0,0.0,shoulder ache or pain,cholelithiasis:gallstones
24,113.0,165.0,1.0,vomiting,cholelithiasis:gallstones
25,179.0,165.0,1.0,jaundice (yellowing skin),cholelithiasis:gallstones
26,262.0,165.0,,chest pain,cholelithiasis:gallstones
27,264.0,165.0,1.0,stomach and abdominal pain,cholelithiasis:gallstones
28,1.0,187.0,2.0,upper abdominal pain,constipation
29,2.0,187.0,2.0,lower abdominal pain,constipation
30,16.0,187.0,0.0,constipation,constipation
31,36.0,187.0,0.0,"cranky, crying, fussy, irritable child",constipation
32,37.0,187.0,0.0,groin pain,constipation
33,49.0,187.0,0.0,incontinence (leaking urine),constipation
34,66.0,187.0,0.0,nausea,constipation
35,148.0,187.0,2.0,urinary retention (inability to urinate),constipation
36,173.0,187.0,2.0,abdominal swelling (stomach swelling),constipation
37,275.0,187.0,0.0,low back ache or pain,constipation
38,264.0,187.0,2.0,stomach and abdominal pain,constipation
39,1.0,306.0,2.0,upper abdominal pain,gastric ulcer:stomach ulcer
40,4.0,306.0,1.0,alcohol abuse,gastric ulcer:stomach ulcer
41,66.0,306.0,1.0,nausea,gastric ulcer:stomach ulcer
42,155.0,306.0,2.0,melena (black stools from blood),gastric ulcer:stomach ulcer
43,156.0,306.0,3.0,vomiting coffee ground material,gastric ulcer:stomach ulcer
44,218.0,306.0,1.0,maroon stools,gastric ulcer:stomach ulcer
45,264.0,306.0,2.0,stomach and abdominal pain,gastric ulcer:stomach ulcer
46,1.0,307.0,1.0,upper abdominal pain,gastritis:stomach inflammation
47,7.0,307.0,0.0,back ache or pain,gastritis:stomach inflammation
48,9.0,307.0,1.0,blood in vomit,gastritis:stomach inflammation
49,13.0,307.0,0.0,chest pressure,gastritis:stomach inflammation
50,18.0,307.0,1.0,dark stools,gastritis:stomach inflammation
51,36.0,307.0,0.0,"cranky, crying, fussy, irritable child",gastritis:stomach inflammation
52,66.0,307.0,2.0,nausea,gastritis:stomach inflammation
53,113.0,307.0,0.0,vomiting,gastritis:stomach inflammation
54,155.0,307.0,2.0,melena (black stools from blood),gastritis:stomach inflammation
55,156.0,307.0,2.0,vomiting coffee ground material,gastritis:stomach inflammation
56,218.0,307.0,0.0,maroon stools,gastritis:stomach inflammation
57,275.0,307.0,0.0,low back ache or pain,gastritis:stomach inflammation
58,264.0,307.0,1.0,stomach and abdominal pain,gastritis:stomach inflammation
59,1.0,308.0,2.0,upper abdominal pain,gastroenteritis:intestinal infection
60,2.0,308.0,0.0,lower abdominal pain,gastroenteritis:intestinal infection
61,9.0,308.0,0.0,blood in vomit,gastroenteritis:intestinal infection
62,14.0,308.0,0.0,chills,gastroenteritis:intestinal infection
63,20.0,308.0,0.0,diarrhea,gastroenteritis:intestinal infection
64,21.0,308.0,0.0,dizziness,gastroenteritis:intestinal infection
65,29.0,308.0,0.0,fever,gastroenteritis:intestinal infection
66,36.0,308.0,2.0,"cranky, crying, fussy, irritable child",gastroenteritis:intestinal infection
67,37.0,308.0,0.0,groin pain,gastroenteritis:intestinal infection
68,66.0,308.0,2.0,nausea,gastroenteritis:intestinal infection
69,113.0,308.0,2.0,vomiting,gastroenteritis:intestinal infection
70,218.0,308.0,0.0,maroon stools,gastroenteritis:intestinal infection
71,264.0,308.0,2.0,stomach and abdominal pain,gastroenteritis:intestinal infection
72,1.0,309.0,2.0,upper abdominal pain,"gastroesophageal reflux:gerd, heartburn"
73,2.0,309.0,0.0,lower abdominal pain,"gastroesophageal reflux:gerd, heartburn"
74,9.0,309.0,0.0,blood in vomit,"gastroesophageal reflux:gerd, heartburn"
75,13.0,309.0,2.0,chest pressure,"gastroesophageal reflux:gerd, heartburn"
76,17.0,309.0,1.0,cough,"gastroesophageal reflux:gerd, heartburn"
77,17.0,309.0,1.0,cough,"gastroesophageal reflux:gerd, heartburn"
78,36.0,309.0,0.0,"cranky, crying, fussy, irritable child","gastroesophageal reflux:gerd, heartburn"
79,47.0,309.0,0.0,hoarse voice,"gastroesophageal reflux:gerd, heartburn"
80,66.0,309.0,0.0,nausea,"gastroesophageal reflux:gerd, heartburn"
81,93.0,309.0,0.0,sore throat,"gastroesophageal reflux:gerd, heartburn"
82,98.0,309.0,2.0,swallowing problem (dysphagia),"gastroesophageal reflux:gerd, heartburn"
83,113.0,309.0,0.0,vomiting,"gastroesophageal reflux:gerd, heartburn"
84,120.0,309.0,0.0,throat pain,"gastroesophageal reflux:gerd, heartburn"
85,181.0,309.0,2.0,flatulence (passing gas),"gastroesophageal reflux:gerd, heartburn"
86,239.0,309.0,2.0,chest burning,"gastroesophageal reflux:gerd, heartburn"
87,262.0,309.0,2.0,chest pain,"gastroesophageal reflux:gerd, heartburn"
88,264.0,309.0,2.0,stomach and abdominal pain,"gastroesophageal reflux:gerd, heartburn"
89,1.0,354.0,1.0,upper abdominal pain,hiatal hernia:stomach pushes through diaphragm
90,9.0,354.0,0.0,blood in vomit,hiatal hernia:stomach pushes through diaphragm
91,13.0,354.0,1.0,chest pressure,hiatal hernia:stomach pushes through diaphragm
92,239.0,354.0,2.0,chest burning,hiatal hernia:stomach pushes through diaphragm
93,262.0,354.0,1.0,chest pain,hiatal hernia:stomach pushes through diaphragm
94,264.0,354.0,1.0,stomach and abdominal pain,hiatal hernia:stomach pushes through diaphragm
95,1.0,401.0,1.0,upper abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
96,2.0,401.0,1.0,lower abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
97,16.0,401.0,2.0,constipation,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
98,20.0,401.0,2.0,diarrhea,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
99,66.0,401.0,0.0,nausea,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
100,74.0,401.0,1.0,pelvic pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
101,173.0,401.0,1.0,abdominal swelling (stomach swelling),"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
102,181.0,401.0,1.0,flatulence (passing gas),"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
103,218.0,401.0,0.0,maroon stools,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
104,264.0,401.0,1.0,stomach and abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
105,1.0,411.0,1.0,upper abdominal pain,bowel obstruction:intestinal blockage
106,173.0,411.0,1.0,abdominal swelling (stomach swelling),bowel obstruction:intestinal blockage
107,1.0,513.0,1.0,upper abdominal pain,kidney stone:nephrolithiasis
108,2.0,513.0,1.0,lower abdominal pain,kidney stone:nephrolithiasis
109,7.0,513.0,2.0,back ache or pain,kidney stone:nephrolithiasis
110,32.0,513.0,1.0,flank pain,kidney stone:nephrolithiasis
111,33.0,513.0,1.0,frequent urination (frequency),kidney stone:nephrolithiasis
112,37.0,513.0,1.0,groin pain,kidney stone:nephrolithiasis
113,49.0,513.0,0.0,incontinence (leaking urine),kidney stone:nephrolithiasis
114,54.0,513.0,1.0,kidney pain (flank pain),kidney stone:nephrolithiasis
115,72.0,513.0,1.0,painful urination,kidney stone:nephrolithiasis
116,85.0,513.0,1.0,scrotal pain,kidney stone:nephrolithiasis
117,113.0,513.0,0.0,vomiting,kidney stone:nephrolithiasis
118,147.0,513.0,2.0,blood in urine (hematuria),kidney stone:nephrolithiasis
119,275.0,513.0,0.0,low back ache or pain,kidney stone:nephrolithiasis
120,264.0,513.0,0.0,stomach and abdominal pain,kidney stone:nephrolithiasis
121,277.0,513.0,0.0,unusual color or odor of urine,kidney stone:nephrolithiasis
122,1.0,546.0,2.0,upper abdominal pain,pancreatitis:pancreas inflammation
123,4.0,546.0,1.0,alcohol abuse,pancreatitis:pancreas inflammation
124,7.0,546.0,1.0,back ache or pain,pancreatitis:pancreas inflammation
125,113.0,546.0,2.0,vomiting,pancreatitis:pancreas inflammation
126,205.0,546.0,1.0,low blood pressure,pancreatitis:pancreas inflammation
127,262.0,546.0,1.0,chest pain,pancreatitis:pancreas inflammation
128,275.0,546.0,1.0,low back ache or pain,pancreatitis:pancreas inflammation
129,264.0,546.0,1.0,stomach and abdominal pain,pancreatitis:pancreas inflammation
130,1.0,722.0,1.0,upper abdominal pain,splenic infarction:death of spleen
131,262.0,722.0,1.0,chest pain,splenic infarction:death of spleen
132,1.0,139.0,1.0,upper abdominal pain,celiac disease:celiac sprue
133,2.0,139.0,1.0,lower abdominal pain,celiac disease:celiac sprue
134,20.0,139.0,2.0,diarrhea,celiac disease:celiac sprue
135,66.0,139.0,0.0,nausea,celiac disease:celiac sprue
136,173.0,139.0,1.0,abdominal swelling (stomach swelling),celiac disease:celiac sprue
137,181.0,139.0,2.0,flatulence (passing gas),celiac disease:celiac sprue
138,232.0,139.0,2.0,steatorrhea (excess fat in stool),celiac disease:celiac sprue
139,264.0,139.0,1.0,stomach and abdominal pain,celiac disease:celiac sprue
140,1.0,988.0,2.0,upper abdominal pain,lactose intolerance
141,2.0,988.0,1.0,lower abdominal pain,lactose intolerance
142,20.0,988.0,2.0,diarrhea,lactose intolerance
143,66.0,988.0,2.0,nausea,lactose intolerance
144,173.0,988.0,2.0,abdominal swelling (stomach swelling),lactose intolerance
145,232.0,988.0,2.0,steatorrhea (excess fat in stool),lactose intolerance
146,264.0,988.0,2.0,stomach and abdominal pain,lactose intolerance
147,1.0,1115.0,2.0,upper abdominal pain,ventral hernia:bulging of the abdominal wall
148,2.0,1115.0,2.0,lower abdominal pain,ventral hernia:bulging of the abdominal wall
149,264.0,1115.0,0.0,stomach and abdominal pain,ventral hernia:bulging of the abdominal wall
150,1.0,56.0,1.0,upper abdominal pain,appendicitis
151,2.0,56.0,3.0,lower abdominal pain,appendicitis
152,7.0,56.0,1.0,back ache or pain,appendicitis
153,14.0,56.0,1.0,chills,appendicitis
154,16.0,56.0,1.0,constipation,appendicitis
155,32.0,56.0,1.0,flank pain,appendicitis
156,37.0,56.0,1.0,groin pain,appendicitis
157,54.0,56.0,1.0,kidney pain (flank pain),appendicitis
158,113.0,56.0,1.0,vomiting,appendicitis
159,128.0,56.0,2.0,inconsolable baby,appendicitis
160,264.0,56.0,2.0,stomach and abdominal pain,appendicitis
161,1.0,115.0,,upper abdominal pain,bronchitis:bronchial tube infection
162,7.0,115.0,,back ache or pain,bronchitis:bronchial tube infection
163,13.0,115.0,,chest pressure,bronchitis:bronchial tube infection
164,17.0,115.0,2.0,cough,bronchitis:bronchial tube infection
165,29.0,115.0,,fever,bronchitis:bronchial tube infection
166,47.0,115.0,2.0,hoarse voice,bronchitis:bronchial tube infection
167,88.0,115.0,2.0,shortness of breath,bronchitis:bronchial tube infection
168,93.0,115.0,,sore throat,bronchitis:bronchial tube infection
169,120.0,115.0,,throat pain,bronchitis:bronchial tube infection
170,129.0,115.0,2.0,wheezing (noisy breathing),bronchitis:bronchial tube infection
174,178.0,115.0,2.0,hemoptysis (coughing blood),bronchitis:bronchial tube infection
175,262.0,115.0,2.0,chest pain,bronchitis:bronchial tube infection
176,264.0,115.0,,stomach and abdominal pain,bronchitis:bronchial tube infection
177,273.0,115.0,2.0,congestion in chest or lungs,bronchitis:bronchial tube infection
178,269.0,115.0,2.0,hurts to breathe,bronchitis:bronchial tube infection
179,1.0,140.0,0.0,upper abdominal pain,cellulitis:skin infection
180,6.0,140.0,2.0,arm ache or pain,cellulitis:skin infection
181,7.0,140.0,0.0,back ache or pain,cellulitis:skin infection
182,11.0,140.0,1.0,pain or soreness of breast,cellulitis:skin infection
183,12.0,140.0,2.0,calf pain,cellulitis:skin infection
184,14.0,140.0,2.0,chills,cellulitis:skin infection
185,23.0,140.0,0.0,ear pressure,cellulitis:skin infection
186,24.0,140.0,0.0,pain in the ear,cellulitis:skin infection
187,25.0,140.0,2.0,elbow ache or pain,cellulitis:skin infection
188,29.0,140.0,2.0,fever,cellulitis:skin infection
190,35.0,140.0,2.0,foot pain,cellulitis:skin infection
191,37.0,140.0,0.0,groin pain,cellulitis:skin infection
192,39.0,140.0,2.0,"hand, finger ache or pain",cellulitis:skin infection
193,42.0,140.0,0.0,heel pain,cellulitis:skin infection
194,45.0,140.0,1.0,hip pain,cellulitis:skin infection
195,52.0,140.0,0.0,skin itching,cellulitis:skin infection
196,55.0,140.0,2.0,knee pain,cellulitis:skin infection
197,57.0,140.0,2.0,leg ache or pain,cellulitis:skin infection
198,58.0,140.0,2.0,swelling of both legs,cellulitis:skin infection
199,67.0,140.0,0.0,neck ache or pain,cellulitis:skin infection
200,68.0,140.0,2.0,neck swelling,cellulitis:skin infection
201,81.0,140.0,2.0,rash,cellulitis:skin infection
202,100.0,140.0,0.0,toe pain,cellulitis:skin infection
203,118.0,140.0,2.0,wrist pain,cellulitis:skin infection
204,152.0,140.0,2.0,painful rash,cellulitis:skin infection
205,191.0,140.0,2.0,skin pain,cellulitis:skin infection
206,192.0,140.0,2.0,hot skin,cellulitis:skin infection
207,193.0,140.0,2.0,skin swelling,cellulitis:skin infection
208,194.0,140.0,2.0,lip swelling,cellulitis:skin infection
209,196.0,140.0,2.0,foot swelling,cellulitis:skin infection
210,213.0,140.0,2.0,arm swelling,cellulitis:skin infection
211,214.0,140.0,2.0,calf swelling,cellulitis:skin infection
212,216.0,140.0,2.0,ear swelling,cellulitis:skin infection
213,217.0,140.0,2.0,wrist swelling,cellulitis:skin infection
215,226.0,140.0,2.0,hand redness,cellulitis:skin infection
216,227.0,140.0,2.0,foot redness,cellulitis:skin infection
217,228.0,140.0,2.0,arm redness,cellulitis:skin infection
218,229.0,140.0,2.0,leg redness,cellulitis:skin infection
219,233.0,140.0,2.0,upper leg pain,cellulitis:skin infection
220,234.0,140.0,2.0,armpit pain,cellulitis:skin infection
221,238.0,140.0,0.0,skin sores,cellulitis:skin infection
222,251.0,140.0,2.0,shin pain,cellulitis:skin infection
223,262.0,140.0,0.0,chest pain,cellulitis:skin infection
224,275.0,140.0,0.0,low back ache or pain,cellulitis:skin infection
225,263.0,140.0,2.0,skin infection,cellulitis:skin infection
226,264.0,140.0,0.0,stomach and abdominal pain,cellulitis:skin infection
227,287.0,140.0,0.0,lump or mass of breast,cellulitis:skin infection
228,274.0,140.0,0.0,discharge from ear,cellulitis:skin infection
229,261.0,140.0,1.0,elbow swelling,cellulitis:skin infection
230,281.0,140.0,2.0,penis inflammation or swelling,cellulitis:skin infection
231,271.0,140.0,0.0,pulling at ears,cellulitis:skin infection
232,272.0,140.0,2.0,skin bumps,cellulitis:skin infection
233,1.0,179.0,1.0,upper abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
234,2.0,179.0,2.0,lower abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
235,7.0,179.0,1.0,back ache or pain,colonic diverticulitis:inflammation of pouches in the large intestine
236,10.0,179.0,2.0,bloody diarrhea,colonic diverticulitis:inflammation of pouches in the large intestine
237,16.0,179.0,2.0,constipation,colonic diverticulitis:inflammation of pouches in the large intestine
238,20.0,179.0,1.0,diarrhea,colonic diverticulitis:inflammation of pouches in the large intestine
239,32.0,179.0,2.0,flank pain,colonic diverticulitis:inflammation of pouches in the large intestine
240,37.0,179.0,1.0,groin pain,colonic diverticulitis:inflammation of pouches in the large intestine
241,54.0,179.0,1.0,kidney pain (flank pain),colonic diverticulitis:inflammation of pouches in the large intestine
242,218.0,179.0,1.0,maroon stools,colonic diverticulitis:inflammation of pouches in the large intestine
243,264.0,179.0,1.0,stomach and abdominal pain,colonic diverticulitis:inflammation of pouches in the large intestine
244,1.0,195.0,0.0,upper abdominal pain,costochondritis:chest wall inflammation
245,7.0,195.0,0.0,back ache or pain,costochondritis:chest wall inflammation
246,11.0,195.0,0.0,pain or soreness of breast,costochondritis:chest wall inflammation
247,13.0,195.0,2.0,chest pressure,costochondritis:chest wall inflammation
248,239.0,195.0,1.0,chest burning,costochondritis:chest wall inflammation
249,269.0,195.0,2.0,hurts to breathe,costochondritis:chest wall inflammation
250,1.0,221.0,1.0,upper abdominal pain,dissecting aortic aneurysm:tearing and dilation of the aorta
251,13.0,221.0,2.0,chest pressure,dissecting aortic aneurysm:tearing and dilation of the aorta
252,239.0,221.0,1.0,chest burning,dissecting aortic aneurysm:tearing and dilation of the aorta
253,262.0,221.0,1.0,chest pain,dissecting aortic aneurysm:tearing and dilation of the aorta
254,1.0,241.0,0.0,upper abdominal pain,endometriosis:uterine tissue outside the uterus
255,2.0,241.0,1.0,lower abdominal pain,endometriosis:uterine tissue outside the uterus
256,74.0,241.0,1.0,pelvic pain,endometriosis:uterine tissue outside the uterus
257,113.0,241.0,0.0,vomiting,endometriosis:uterine tissue outside the uterus
258,211.0,241.0,1.0,infertility (female),endometriosis:uterine tissue outside the uterus
259,275.0,241.0,0.0,low back ache or pain,endometriosis:uterine tissue outside the uterus
260,264.0,241.0,0.0,stomach and abdominal pain,endometriosis:uterine tissue outside the uterus
261,1.0,262.0,0.0,upper abdominal pain,esophageal stricture:narrowing of the esophagus
262,98.0,262.0,1.0,swallowing problem (dysphagia),esophageal stricture:narrowing of the esophagus
263,239.0,262.0,0.0,chest burning,esophageal stricture:narrowing of the esophagus
264,1.0,265.0,,upper abdominal pain,esophagitis:esophageal inflammation
265,9.0,265.0,,blood in vomit,esophagitis:esophageal inflammation
266,13.0,265.0,1.0,chest pressure,esophagitis:esophageal inflammation
267,17.0,265.0,,cough,esophagitis:esophageal inflammation
268,66.0,265.0,,nausea,esophagitis:esophageal inflammation
269,67.0,265.0,,neck ache or pain,esophagitis:esophageal inflammation
270,93.0,265.0,,sore throat,esophagitis:esophageal inflammation
271,98.0,265.0,1.0,swallowing problem (dysphagia),esophagitis:esophageal inflammation
272,113.0,265.0,,vomiting,esophagitis:esophageal inflammation
273,120.0,265.0,,throat pain,esophagitis:esophageal inflammation
274,156.0,265.0,2.0,vomiting coffee ground material,esophagitis:esophageal inflammation
275,239.0,265.0,2.0,chest burning,esophagitis:esophageal inflammation
276,262.0,265.0,1.0,chest pain,esophagitis:esophageal inflammation
277,1.0,349.0,0.0,upper abdominal pain,hernia
278,2.0,349.0,0.0,lower abdominal pain,hernia
279,45.0,349.0,1.0,hip pain,hernia
280,1.0,388.0,0.0,upper abdominal pain,inguinal hernia:groin hernia
281,2.0,388.0,2.0,lower abdominal pain,inguinal hernia:groin hernia
282,37.0,388.0,2.0,groin pain,inguinal hernia:groin hernia
283,85.0,388.0,2.0,scrotal pain,inguinal hernia:groin hernia
284,86.0,388.0,2.0,scrotal swelling,inguinal hernia:groin hernia
286,173.0,388.0,2.0,abdominal swelling (stomach swelling),inguinal hernia:groin hernia
287,264.0,388.0,1.0,stomach and abdominal pain,inguinal hernia:groin hernia
288,1.0,426.0,0.0,upper abdominal pain,ligament sprain:connection between two bones
289,2.0,426.0,0.0,lower abdominal pain,ligament sprain:connection between two bones
290,6.0,426.0,0.0,arm ache or pain,ligament sprain:connection between two bones
291,7.0,426.0,0.0,back ache or pain,ligament sprain:connection between two bones
292,11.0,426.0,0.0,pain or soreness of breast,ligament sprain:connection between two bones
293,13.0,426.0,0.0,chest pressure,ligament sprain:connection between two bones
294,25.0,426.0,0.0,elbow ache or pain,ligament sprain:connection between two bones
295,37.0,426.0,1.0,groin pain,ligament sprain:connection between two bones
296,39.0,426.0,0.0,"hand, finger ache or pain",ligament sprain:connection between two bones
297,53.0,426.0,2.0,joint pain,ligament sprain:connection between two bones
298,57.0,426.0,0.0,leg ache or pain,ligament sprain:connection between two bones
299,67.0,426.0,0.0,neck ache or pain,ligament sprain:connection between two bones
300,262.0,426.0,2.0,chest pain,ligament sprain:connection between two bones
301,275.0,426.0,1.0,low back ache or pain,ligament sprain:connection between two bones
302,303.0,426.0,2.0,arm stiffness or tightness,ligament sprain:connection between two bones
303,261.0,426.0,1.0,elbow swelling,ligament sprain:connection between two bones
304,290.0,426.0,2.0,neck stiffness or tightness,ligament sprain:connection between two bones
305,301.0,426.0,2.0,shoulder stiffness or tightness,ligament sprain:connection between two bones
306,1.0,539.0,0.0,upper abdominal pain,ovarian cyst:female organ fluid collection
307,2.0,539.0,1.0,lower abdominal pain,ovarian cyst:female organ fluid collection
308,7.0,539.0,0.0,back ache or pain,ovarian cyst:female organ fluid collection
309,11.0,539.0,0.0,pain or soreness of breast,ovarian cyst:female organ fluid collection
310,37.0,539.0,0.0,groin pain,ovarian cyst:female organ fluid collection
311,74.0,539.0,2.0,pelvic pain,ovarian cyst:female organ fluid collection
312,105.0,539.0,0.0,vaginal bleeding,ovarian cyst:female organ fluid collection
313,275.0,539.0,0.0,low back ache or pain,ovarian cyst:female organ fluid collection
314,264.0,539.0,0.0,stomach and abdominal pain,ovarian cyst:female organ fluid collection
315,1.0,547.0,1.0,upper abdominal pain,"pancreas inflammation:pancreatitis, chronic"
316,2.0,547.0,1.0,lower abdominal pain,"pancreas inflammation:pancreatitis, chronic"
317,7.0,547.0,1.0,back ache or pain,"pancreas inflammation:pancreatitis, chronic"
318,20.0,547.0,1.0,diarrhea,"pancreas inflammation:pancreatitis, chronic"
319,232.0,547.0,2.0,steatorrhea (excess fat in stool),"pancreas inflammation:pancreatitis, chronic"
320,306.0,547.0,1.0,high blood sugar,"pancreas inflammation:pancreatitis, chronic"
321,1.0,585.0,1.0,upper abdominal pain,pneumonia:lung infection
322,7.0,585.0,1.0,back ache or pain,pneumonia:lung infection
323,11.0,585.0,1.0,pain or soreness of breast,pneumonia:lung infection
324,13.0,585.0,3.0,chest pressure,pneumonia:lung infection
325,14.0,585.0,3.0,chills,pneumonia:lung infection
326,17.0,585.0,3.0,cough,pneumonia:lung infection
327,21.0,585.0,1.0,dizziness,pneumonia:lung infection
328,29.0,585.0,3.0,fever,pneumonia:lung infection
329,32.0,585.0,1.0,flank pain,pneumonia:lung infection
330,54.0,585.0,1.0,kidney pain (flank pain),pneumonia:lung infection
331,88.0,585.0,3.0,shortness of breath,pneumonia:lung infection
335,170.0,585.0,3.0,cyanosis (blue skin coloration),pneumonia:lung infection
337,178.0,585.0,3.0,hemoptysis (coughing blood),pneumonia:lung infection
338,239.0,585.0,3.0,chest burning,pneumonia:lung infection
339,262.0,585.0,3.0,chest pain,pneumonia:lung infection
340,275.0,585.0,1.0,low back ache or pain,pneumonia:lung infection
341,270.0,585.0,3.0,difficulty breathing,pneumonia:lung infection
342,273.0,585.0,3.0,congestion in chest or lungs,pneumonia:lung infection
343,269.0,585.0,3.0,hurts to breathe,pneumonia:lung infection
344,1.0,589.0,0.0,upper abdominal pain,polycystic kidney disease:inherited kidney disorder
345,32.0,589.0,0.0,flank pain,polycystic kidney disease:inherited kidney disorder
346,37.0,589.0,0.0,groin pain,polycystic kidney disease:inherited kidney disorder
347,54.0,589.0,0.0,kidney pain (flank pain),polycystic kidney disease:inherited kidney disorder
348,304.0,589.0,0.0,high blood pressure,polycystic kidney disease:inherited kidney disorder
349,1.0,637.0,1.0,upper abdominal pain,pyelonephritis:kidney infection
350,2.0,637.0,1.0,lower abdominal pain,pyelonephritis:kidney infection
351,7.0,637.0,3.0,back ache or pain,pyelonephritis:kidney infection
352,14.0,637.0,1.0,chills,pyelonephritis:kidney infection
353,29.0,637.0,1.0,fever,pyelonephritis:kidney infection
354,32.0,637.0,3.0,flank pain,pyelonephritis:kidney infection
355,33.0,637.0,3.0,frequent urination (frequency),pyelonephritis:kidney infection
356,37.0,637.0,1.0,groin pain,pyelonephritis:kidney infection
357,49.0,637.0,1.0,incontinence (leaking urine),pyelonephritis:kidney infection
358,54.0,637.0,3.0,kidney pain (flank pain),pyelonephritis:kidney infection
359,72.0,637.0,3.0,painful urination,pyelonephritis:kidney infection
360,113.0,637.0,1.0,vomiting,pyelonephritis:kidney infection
361,147.0,637.0,3.0,blood in urine (hematuria),pyelonephritis:kidney infection
362,275.0,637.0,2.0,low back ache or pain,pyelonephritis:kidney infection
363,264.0,637.0,1.0,stomach and abdominal pain,pyelonephritis:kidney infection
364,1.0,698.0,0.0,upper abdominal pain,shingles:herpes zoster
365,7.0,698.0,0.0,back ache or pain,shingles:herpes zoster
366,11.0,698.0,0.0,pain or soreness of breast,shingles:herpes zoster
367,13.0,698.0,1.0,chest pressure,shingles:herpes zoster
368,27.0,698.0,1.0,facial pain,shingles:herpes zoster
